%					
500	Honor				
grades	500	504	511		
profit*	500	504	511		
experience*	500	504	511		
excel*	500	504	511		
scholar*	500	504	511		
discover*	500	504	511		
scien*	500	504	511		
skill*	500	504	511		
prais*	500	504	511		
progress*	500	504	511		
opportun*	500	504	511		
medal	500	504	511		
medals	500	504	511		
advanc*	500	504	511		
capacity	500	504	511		
competence	500	504	511		
incomes	500	504	511		
income	500	504	511		
salary	500	504	511		
salaries	500	504	511		
fulfill*	500	540	507	511	
intelligen*	500	504	511		
reason*	500	504	511		
recogni*	500	504	511	513	515
review*	500	504	511		
surpass*	500	504	511		
benefit*	500	504	511		
abundan*	500	504	506		
overabundan*	500	504	506		
mundane	500	504	506		
mone*	500	504	506		
material*	500	504	506		
car	500	504	506		
cars	500	504	506		
cheap*	500	504	506		
estate	500	504	506		
estates	500	504	506		
rupee*	500	504	506		
resource	500	504	506		
resources	500	504	506		
earring	500	504	506		
earrings	500	504	506		
live*	500	504	506		
life*	500	504	506		
living	500	504	506		
forgiv*	500	540	532	507	
proper	500	540	532		
properly	500	540	532		
appropriate	500	540	532		
welcom*	500	540	532		
tolerat*	500	540	532		
polite*	500	540	532		
pleasant*	500	540	532		
manner*	500	540	532		
decorum	500	540	532		
please	500	540	532		
thank*	500	540	532		
greet*	500	540	532		
decent	500	540	532		
decency	500	540	532		
courtesy	500	540	532		
courteousness	500	540	532		
courteous	500	540	532		
listen*	500	540	532		
thoughtful*	500	540	532		
share*	500	540	532		
sharing	500	540	532		
patient*	500	540	532		
conduct*	500	540	532		
attitude	500	540	532		
agree*	500	540	532		
does	500	540	532		
appreciate	500	540	532		
consent	500	540	532		
accept*	500	540	532		
demeanor	500	540	532		
presence	500	540	532		
suitable	500	540	532		
obtain	500	504	511		
grow	500	504	511		
acquire	500	504	511		
chase	500	504	511		
inquire	500	504	511		
pursue	500	504	511		
power*	500	513	527		
lead*	500	513	527		
obey*	500	513			
obedience	500	513			
decid*	500	504	506		
command*	500	504	506		
order*	500	504	506		
fate*	500	540	509		
fatal*	500	540	509		
fix*	500	504	506		
dominat*	500	501	535		
determin*	500	540	509		
destin*	500	540	509		
control*	500	504	506		
inten*	500	504	506		
desir*	500	504	506		
want*	500	504	506		
resolution*	500	504	506		
resolv*	500	504	506		
solution*	500	504	506		
solv*	500	504	506		
trying	500	504	506		
tried	500	504	506		
tries	500	504	506		
try	500	504	506		
correct*	500	504	506		
conscious*	500	504	506		
dictate	500	504	506		
manage*	500	504	506		
object	500	513			
objects	500	513			
objected	500	513			
objecting	500	513			
protest*	500	513			
regulat*	500	513			
yield*	500	513			
kiss*	500	513	514		
hair*	500	513	514		
head	500	513	514		
heads	500	513	514		
beds	500	513	514		
bed	500	513	514		
virgin*	500	513	514		
vagina	500	513	514		
vaginas	500	513	514		
sex*	500	513	514		
puri*	500	513	514		
pure	500	513	514		
flirt*	500	513	514		
clean*	500	513	514		
chast*	500	513	514		
bod*	500	513	514		
affairs	500	513	514		
reput*	500	513	515	504	506
fame	500	513	515	504	506
famous	500	513	515	504	506
prove	500	513	515		
proves	500	513	515	516	
proved	500	513	515	516	
proving	500	513	515	516	
proof	500	513	515	516	
worn	500	513	515		
percieve*	500	513	515		
percep*	500	513	515		
look*	500	513	515		
display*	500	513	515		
demonstrat*	500	513	515		
deform*	500	513	515		
defacing	500	513	515		
deface*	500	513	515		
charg*	500	513	515		
attire*	500	513	515		
bashful*	500	513	515		
wear*	500	513	515		
view*	500	513	515		
shied	500	513	515		
public*	500	513	515		
media*	500	513	515		
press	500	513	515		
news	500	513	515		
perspectives	500	513	515		
perspective	500	513	515		
name	500	513	515		
image	500	513	515		
history	500	513	515		
front*	500	513	515		
facing	500	513	515		
faces	500	513	515		
faced	500	513	515		
face	500	513	515		
doubt*	500	513	515		
cloth*	500	513	515		
pant*	500	513	515		
brand*	500	513	515		
apparent*	500	513	515		
appear*	500	513	515		
adorn*	500	513	515		
accus*	500	513	515		
others	500	513	515		
acknowledg*	500	513	515		
visib*	500	513	515		
surrounding*	500	513	515		
exhibit*	500	513	515		
investigat*	500	513	515		
dress*	500	513	515		
panchayat	500	513	515		
obvious*	500	513	515		
wellknown	500	513	515		
rumour	500	513	515		
rumours	500	513	515		
rumoured	500	513	515		
rumor	500	513	515		
rumors	500	513	515		
rumored	500	513	515		
outward*	500	513	515		
claim	500	513	515		
claims	500	513	515		
exterior	500	513	515		
feature	500	513	515		
reveal	500	513	515		
danger*	500	513	516		
reserv*	500	513	516		
guard*	500	513	516		
caring	500	513	516		
care*	500	513	516		
skin	500	513	516		
wary	500	513	516		
wariness	500	513	516		
burkas	500	513	516		
burka	500	513	516		
purdahs	500	513	516		
purdah	500	513	516		
hijabs	500	513	516		
hijab	500	513	516		
niqab	500	513	516		
niqabs	500	513	516		
scarves	500	513	516		
scarf	500	513	516		
separate*	500	513	516		
secur*	500	513	516		
secretly	500	513	516		
secrets	500	513	516		
secret	500	513	516		
saves	500	513	516		
saved	500	513	516		
save	500	513	516		
safe*	500	513	516		
insur*	500	513	516		
ring	500	513	516		
reluctan*	500	513	516		
protect*	500	513	516		
prevent*	500	513	516		
permit*	500	513	516		
permission	500	513	516		
maintain*	500	513	516		
maintenance	500	513	516		
immun*	500	513	516		
hides	500	513	516		
hide	500	513	516		
hidden	500	513	516		
hiding	500	513	516		
hid	500	513	516		
distances	500	513	516		
distanced	500	513	516		
distancing	500	513	516		
distance	500	513	516		
deter	500	513	516		
deters	500	513	516		
deterrence	500	513	516		
deterred	500	513	516		
deterring	500	513	516		
defen*	500	513	516		
covering	500	513	516		
covers	500	513	516		
covered	500	513	516		
cover	500	513	516		
coverage	500	513	516		
cautious	500	513	516		
caution	500	513	516		
avoid*	500	513	516		
allow*	500	513	516		
limit*	500	513	516		
scare*	500	513	516		
scaring	500	513	516		
scary	500	513	516		
sustain*	500	513	516		
suspic*	500	513	516		
restrict*	500	513	516		
prohibit*	500	513	516		
overlook*	500	513	516		
curtain	500	513	516		
curtains	500	513	516		
bound*	500	513	516		
preserv*	500	513	516		
leave	500	513	516		
left	500	513	516		
avert*	500	513	516		
confine*	500	513	516		
discretion	500	513	516		
disguise*	500	513	516		
escape*	500	513	516		
forbid*	500	513	516		
forbade	500	513	516		
restrain*	500	513	516		
shelter*	500	513	516		
shield*	500	513	516		
vigilan*	500	513	516		
shame*	500	513	516		
afraid	500	513	516		
fear	500	513	516		
strong*	500	513	527		
strength*	500	513	527		
hero*	500	513	527		
forcing	500	513	527		
force*	500	513	527		
firm	500	513	527		
courag*	500	513	527		
brave*	500	513	527		
confident	500	513	527		
daring	500	513	527		
persistent	500	513	527		
tough	500	513	527		
irdh	500	518			
ird	500	518			
honour*	500	518			
honor*	500	518			
digni*	500	518			
namus*	500	518			
seref*	500	518			
sharaf	500	518			
relat*	500	522	523	526	
partners	500	522	523		
partner	500	522	523		
counterparts	500	522	523		
counterpart	500	522	523		
classmates	500	522	523		
classmate	500	522	523		
tribes	500	522	523		
tribe	500	522	523		
tribal*	500	522	523		
strange*	500	522	523		
Societ*	500	522	523		
social*	500	522	523		
partnership	500	522	523		
neighbor*	500	522	523		
member*	500	522	523		
friend*	500	522	523		
group*	500	522	523		
assembl*	500	522	523		
clique*	500	522	523		
befriend*	500	522	523		
party	500	522	523		
parties	500	522	523		
connect*	500	522	523		
link*	500	522	523		
compromis*	500	522	523		
reciprocat*	500	522	523		
village*	500	522	523		
belong*	500	522	523		
ties	500	522	523		
district	500	522	523		
districts	500	522	523		
county	500	522	523		
counties	500	522	523		
associat*	500	522	523		
peer*	500	522	523		
people	500	522	523		
women	500	522	525		
Woman	500	522	525		
men	500	522	525		
masculin*	500	522	525		
man	500	522	525		
males	500	522	525		
male	500	522	525		
ladies	500	522	525		
lady	500	522	525		
girls	500	522	525		
girl	500	522	525		
feminin*	500	522	525		
females	500	522	525		
female	500	522	525		
daugthers	500	522	525		
daughter	500	522	525		
boys	500	522	525		
boy	500	522	525		
maiden*	500	522	525		
house	500	522	526		
wives	500	522	526		
wife*	500	522	526		
parent*	500	522	526		
mother-in-law	500	522	526		
moms	500	522	526		
mom	500	522	526		
marry	500	522	526		
marri*	500	522	526		
kids	500	522	526		
kid	500	522	526		
husbands	500	522	526		
husband	500	522	526		
houses	500	522	526		
dad	500	522	526		
brothers	500	522	526		
brother	500	522	526		
home*	500	522	526		
widow*	500	522	526		
upbringing	500	522	526		
uncle*	500	522	526		
spouse*	500	522	526		
son	500	522	526		
sons	500	522	526		
sister	500	522	526		
sibling*	500	522	526		
raising	500	522	526		
mothers	500	522	526		
Mother	500	522	526		
fiances	500	522	526		
fathers	500	522	526		
father	500	522	526		
famil*	500	522	526		
dads	500	522	526		
child*	500	522	526		
teen*	500	522	526		
betroth*	500	522	526		
aunt*	500	522	526		
dear*	500	522	526		
grandfather*	500	522	526		
grandmother*	500	522	526		
grandparent*	500	522	526		
inlaw	500	522	526		
inlaws	500	522	526		
daughterinlaw	500	522	526		
brotherinlaw	500	522	526		
soninlaw	500	522	526		
engage*	500	522	526		
senat*	500	522	528		
deput*	500	522	528		
representative*	500	522	528		
minister*	500	522	528		
parliament*	500	522	528		
president*	500	522	528		
presidency	500	522	528		
politic*	500	522	528		
policy	500	522	528		
policies	500	522	528		
official*	500	522	528		
govern*	500	522	528		
flag*	500	522	528		
elect*	500	522	528		
homeland	500	522	528		
country	500	522	528		
countries	500	522	528		
border*	500	522	528		
lands	500	522	528		
land	500	522	528		
sovereign*	500	522	528		
international	500	522	528		
law	500	522	528		
laws	500	522	528		
judic*	500	522	528		
judging	500	522	528		
judge*	500	522	528		
courts	500	522	528		
court	500	522	528		
custody	500	522	528		
personal*	500	522	530		
yourself	500	522	530		
themselves	500	522	530		
self-worth	500	522	530		
ourselves	500	522	530		
oneself	500	522	530		
myself	500	522	530		
himself	500	522	530		
herself	500	522	530		
character*	500	522	530		
person	500	522	530		
someone	500	522	530		
self*	500	522	530		
affect*	500	522	530		
concern*	500	522	530		
tending	500	522	530		
tended	500	522	530		
tends	500	522	530		
tend	500	522	530		
natural*	500	522	530		
nature	500	522	530		
tenden*	500	522	530		
core	500	522	530		
foundations	500	522	530		
basis	500	522	530		
ego	500	522	530		
egotistic	500	522	530		
ident*	500	522	530		
own	500	522	530		
war	500	522	531		
wars	500	522	531		
vets	500	522	531		
veterans	500	522	531		
veteran	500	522	531		
vet	500	522	531		
troops	500	522	531		
troop	500	522	531		
soldiers	500	522	531		
soldier	500	522	531		
officers	500	522	531		
officer	500	522	531		
military	500	522	531		
marines	500	522	531		
marine	500	522	531		
corps	500	522	531		
corp	500	522	531		
army	500	522	531		
chief	500	522	531		
combat	500	522	531		
service	500	522	531		
Hotel	500	522			
situation	500	522			
location	500	522			
area	500	522			
region	500	522			
provinc*	500	522			
road	500	522			
venue	500	522			
Gender	500	522	525		
prude*	500	513	516		
bashful	500	513	515		
shy*	500	513	515		
pride*	500	504	511		
proud	500	504	511		
administrat*	500	522	528	539	
contract*	500	522	539		
business*	500	522	539		
econ*	500	522	539		
trade*	500	522	539		
trading	500	522	539		
exchang*	500	522	539		
buy*	500	522	539		
bought	500	522	539		
sell*	500	522	539		
sold	500	522	539		
commodi*	500	522	539		
advertis*	500	522	539		
bargain	500	522	539		
profession*	500	522	539		
customers	500	522	539		
customer	500	522	539		
commerce	500	522	539		
world*	500	522	544		
eastern*	500	522	544		
western*	500	522	544		
ethnic*	500	522	544		
outsider	500	522	544		
outsiders	500	522	544		
foreign*	500	522	544		
immigrat*	500	522	544		
immigrant*	500	522	544		
domestic*	500	522	544		
cultur*	500	522	544		
currency	500	506	504		
